state_abbrev,state_name,state_fips,office,dist,year,votes_r,votes_d,votes_2p,d2pshare,incumbency,cand_r,inc_r,cand_d,inc_d,votes_o,votes_total,party_o,cand_o,inc_o,win_party,notes_cq,votes_extra,votes_plurality,lag_d2pshare,dpres
WA,WASHINGTON,53,H,4,2020,202108,102667,304775,0.33686161,-1,"NEWHOUSE, DAN M.",Incumbent,"MCKINLEY, DOUG",Challenger,488,305263,WRITE-IN,SCATTERED WRITE-INS,Challenger,R,,,99441,0.37182254,40.65708419
WA,WASHINGTON,53,H,5,2022,188648,127585,316233,0.40345252,-1,"RODGERS, CATHY MCMORRIS",Incumbent,"HILL, NATASHA",Challenger,773,317006,WRITE-IN,WRITE-IN,Challenger,R,,,61063,0.38591558,44.84536082
WA,WASHINGTON,53,H,4,2022,150619,70710,221329,0.31947914,-1,"NEWHOUSE, DAN M.",Incumbent,"WHITE, DOUG",Challenger,5318,226647,WRITE-IN,WRITE-IN,Challenger,R,,,79909,0.33686161,41.33333333
WI,WISCONSIN,55,H,8,1950,71908,43877,115785,0.37895235,-1,"BYRNES, JOHN W.",Incumbent,"REYNOLDS, JOHN W. JR.",Challenger,,115785,N/A,N/A,N/A,R,,,28031,0.381179,
WI,WISCONSIN,55,H,2,1950,75281,55117,130398,0.42268285,-1,"DAVIS, GLENN R.",Incumbent,"WILKIE, HORACE W.",Challenger,,130398,N/A,N/A,N/A,R,,,20164,0.45512423,
WI,WISCONSIN,55,H,9,1950,60337,24871,85208,0.29188573,-1,"HULL, MERLIN",Incumbent,"HENNING, ARTHUR L.",Challenger,,85208,N/A,N/A,N/A,R,,,35466,,
WI,WISCONSIN,55,H,7,1950,63433,29408,92841,0.31675661,-1,"MURRAY, REID F.",Incumbent,"GILBERTSON, EDWARD G.",Challenger,,92841,N/A,N/A,N/A,R,,,34025,,
WI,WISCONSIN,55,H,10,1950,46722,35281,82003,0.43024036,-1,"O'KONSKI, ALVIN E.",Incumbent,"EDWARDS, RODNEY J.",Challenger,,82003,N/A,N/A,N/A,R,,,11441,0.25902024,
WI,WISCONSIN,55,H,1,1950,70883,53071,123954,0.42815077,-1,"SMITH, LAWRENCE H.",Incumbent,"HARVEY, JACK",Challenger,,123954,N/A,N/A,N/A,R,,,17812,,
WI,WISCONSIN,55,H,3,1950,54783,38265,93048,0.41123936,-1,"WITHROW, GARDNER R.",Incumbent,"LUCEY, PATRICK J.",Challenger,,93048,N/A,N/A,N/A,R,,,16518,0.72508973,
WI,WISCONSIN,55,H,8,1952,114183,40980,155163,0.26410934,-1,"BYRNES, JOHN W.",Incumbent,"SCHULTZ, ROBERT C.",Challenger,,155163,N/A,N/A,N/A,R,,,73203,0.37895235,31.79999924
WI,WISCONSIN,55,H,2,1952,116542,68665,185207,0.37074733,-1,"DAVIS, GLENN R.",Incumbent,"WILKIE, HORACE W.",Challenger,,185207,N/A,N/A,N/A,R,,,47877,0.42268285,39.29999924
WI,WISCONSIN,55,H,9,1952,81258,43437,124695,0.34834597,-1,"HULL, MERLIN",Incumbent,"PILLSBURY, KENT L.",Challenger,,124695,N/A,N/A,N/A,R,,,37821,0.29188573,35.59999847
WI,WISCONSIN,55,H,5,1952,112048,105013,217061,0.48379487,-1,"KERSTEN, CHARLES J.",Incumbent,"BIEMILLER, ANDREW J.",Challenger,,217061,N/A,N/A,N/A,R,,,7035,0.48385409,45.20000076
WI,WISCONSIN,55,H,10,1952,73527,35597,109124,0.32620689,-1,"O'KONSKI, ALVIN E.",Incumbent,"KANNENBERG, ROLAND",Challenger,,109124,N/A,N/A,N/A,R,,,37930,0.43024036,42.40000153
WI,WISCONSIN,55,H,1,1952,99742,68269,168011,0.40633649,-1,"SMITH, LAWRENCE H.",Incumbent,"AGNEW, ARNIE W.",Challenger,,168011,N/A,N/A,N/A,R,,,31473,0.42815077,40.40000153
WI,WISCONSIN,55,H,6,1952,103464,40910,144374,0.28336126,-1,"VAN PELT, WILLIAM K.",Incumbent,"NOREM, RALPH A.",Challenger,,144374,N/A,N/A,N/A,R,,,62554,0.34951475,31.60000038
WI,WISCONSIN,55,H,3,1952,96908,32165,129073,0.24920006,-1,"WITHROW, GARDNER R.",Incumbent,"BOWEN, EDNA",Challenger,,129073,N/A,N/A,N/A,R,,,64743,0.41123936,31.10000038
WI,WISCONSIN,55,H,8,1954,73588,45037,118625,0.37965858,-1,"BYRNES, JOHN W.",Incumbent,"REINKE, JEROME J.",Challenger,,118625,N/A,N/A,N/A,R,,,28551,0.26410934,31.79999924
WI,WISCONSIN,55,H,2,1954,74460,63449,137909,0.46007875,-1,"DAVIS, GLENN R.",Incumbent,"NELSON, GAYLORD ANTON",Challenger,,137909,N/A,N/A,N/A,R,,,11011,0.37074733,39.29999924
WI,WISCONSIN,55,H,5,1954,70565,77208,147773,0.52247703,-1,"KERSTEN, CHARLES J.",Incumbent,"REUSS, HENRY S.",Challenger,,147773,N/A,N/A,N/A,D,,,6643,0.48379487,45.20000076
WI,WISCONSIN,55,H,7,1954,57581,39828,97409,0.40887392,-1,"LAIRD, MELVIN R.",Incumbent,"ANDERSON, KENNETH E.",Challenger,,97409,N/A,N/A,N/A,R,,,17753,0.27684197,32.5
WI,WISCONSIN,55,H,10,1954,49325,33219,82544,0.40243992,-1,"O'KONSKI, ALVIN E.",Incumbent,"KENNEDY, BASIL G.",Challenger,,82544,N/A,N/A,N/A,R,,,16106,0.32620689,42.40000153
WI,WISCONSIN,55,H,1,1954,65562,54864,120426,0.45558268,-1,"SMITH, LAWRENCE H.",Incumbent,"KRENZKE, EDWARD A.",Challenger,,120426,N/A,N/A,N/A,R,,,10698,0.40633649,40.40000153
WI,WISCONSIN,55,H,6,1954,68653,41191,109844,0.37499544,-1,"VAN PELT, WILLIAM K.",Incumbent,"JOHNSON, RUSSELL S.",Challenger,,109844,N/A,N/A,N/A,R,,,27462,0.28336126,31.60000038
WI,WISCONSIN,55,H,3,1954,56228,34375,90603,0.37940246,-1,"WITHROW, GARDNER R.",Incumbent,"SEEP, JOSEPH A.",Challenger,,90603,N/A,N/A,N/A,R,,,21853,0.24920006,31.10000038
WI,WISCONSIN,55,H,8,1956,97952,53567,151519,0.35353321,-1,"BYRNES, JOHN W.",Incumbent,"SINGLER, MILO",Challenger,,151519,N/A,N/A,N/A,R,,,44385,0.37965858,30.56999969
WI,WISCONSIN,55,H,7,1956,80143,49442,129585,0.38154107,-1,"LAIRD, MELVIN R.",Incumbent,"ANDERSON, MARGARET",Challenger,,129585,N/A,N/A,N/A,R,,,30701,0.40887392,33.38000107
WI,WISCONSIN,55,H,10,1956,67250,36941,104191,0.35455078,-1,"O'KONSKI, ALVIN E.",Incumbent,"LAURI, CARL E.",Challenger,,104191,N/A,N/A,N/A,R,,,30309,0.40243992,43.68000031
WI,WISCONSIN,55,H,1,1956,94882,71379,166261,0.42931896,-1,"SMITH, LAWRENCE H.",Incumbent,"FLYNN, GERALD T.",Challenger,,166261,N/A,N/A,N/A,R,,,23503,0.45558268,36.91999817
WI,WISCONSIN,55,H,6,1956,96783,47277,144060,0.32817575,-1,"VAN PELT, WILLIAM K.",Incumbent,"PLOETZ, RUDOLPH J.",Challenger,,144060,N/A,N/A,N/A,R,,,49506,0.37499544,30.59000015
WI,WISCONSIN,55,H,3,1956,74000,46911,120911,0.3879796,-1,"WITHROW, GARDNER R.",Incumbent,"CLAPP, NORMAN M.",Challenger,,120911,N/A,N/A,N/A,R,,,27089,0.37940246,36.5
WI,WISCONSIN,55,H,8,1958,69682,51887,121569,0.4268111,-1,"BYRNES, JOHN W.",Incumbent,"SINGLER, MILO",Challenger,,121569,N/A,N/A,N/A,R,,,17795,0.35353321,30.56999969
WI,WISCONSIN,55,H,7,1958,59186,38702,97888,0.39537022,-1,"LAIRD, MELVIN R.",Incumbent,"TRAEGER, KENNETH",Challenger,,97888,N/A,N/A,N/A,R,,,20484,0.38154107,33.38000107
WI,WISCONSIN,55,H,10,1958,56801,28830,85631,0.33667713,-1,"O'KONSKI, ALVIN E.",Incumbent,"KENNEDY, BASIL G.",Challenger,,85631,N/A,N/A,N/A,R,,,27971,0.35455078,43.68000031
WI,WISCONSIN,55,H,2,1958,71748,78009,149757,0.52090389,-1,"TEWES, DONALD E.",Incumbent,"KASTENMEIER, ROBERT W.",Challenger,,149757,N/A,N/A,N/A,D,,,6261,0.44676766,38.02999878
WI,WISCONSIN,55,H,6,1958,61490,55031,116521,0.47228396,-1,"VAN PELT, WILLIAM K.",Incumbent,"MEGELLAS, JAMES",Challenger,,116521,N/A,N/A,N/A,R,,,6459,0.32817575,30.59000015
WI,WISCONSIN,55,H,3,1958,47858,45608,93466,0.48796353,-1,"WITHROW, GARDNER R.",Incumbent,"CLAPP, NORMAN M.",Challenger,,93466,N/A,N/A,N/A,R,,,2250,0.3879796,36.5
WI,WISCONSIN,55,H,8,1960,101132,70740,171872,0.41158536,-1,"BYRNES, JOHN W.",Incumbent,"SINGLER, MILO",Challenger,,171872,N/A,N/A,N/A,R,,,30392,0.4268111,47.86000061
WI,WISCONSIN,55,H,7,1960,95152,46606,141758,0.32877156,-1,"LAIRD, MELVIN R.",Incumbent,"TRAEGER, KENNETH",Challenger,,141758,N/A,N/A,N/A,R,,,48546,0.39537022,41.54000092
WI,WISCONSIN,55,H,10,1960,73114,,73114,,-1,"O'KONSKI, ALVIN E.",Incumbent,,N/A,,73114,N/A,N/A,N/A,R,,,73114,0.33667713,50.66999817
WI,WISCONSIN,55,H,6,1960,91450,72442,163892,0.44201058,-1,"VAN PELT, WILLIAM K.",Incumbent,"MEGELLAS, JAMES",Challenger,,163892,N/A,N/A,N/A,R,,,19008,0.47228396,41.72000122
WI,WISCONSIN,55,H,8,1962,80808,47833,128641,0.37183324,-1,"BYRNES, JOHN W.",Incumbent,"MONFILS, OWEN F.",Challenger,,128641,N/A,N/A,N/A,R,,,32975,0.41158536,47.86000061
WI,WISCONSIN,55,H,7,1962,68418,35151,103569,0.33939692,-1,"LAIRD, MELVIN R.",Incumbent,"EVANS, JOHN E.",Challenger,,103569,N/A,N/A,N/A,R,,,33267,0.32877156,41.54000092
WI,WISCONSIN,55,H,10,1962,52451,30556,83007,0.36811352,-1,"O'KONSKI, ALVIN E.",Incumbent,"HANSON, J. LOUIS",Challenger,,83007,N/A,N/A,N/A,R,,,21895,,50.66999817
WI,WISCONSIN,55,H,1,1962,71657,62800,134457,0.46706381,-1,"SCHADEBERG, HENRY C.",Incumbent,"FLYNN, GERALD T.",Challenger,,134457,N/A,N/A,N/A,R,,,8857,0.47297472,44.93999863
WI,WISCONSIN,55,H,3,1962,54237,34240,88477,0.38699323,-1,"THOMSON, VERNON W.",Incumbent,"THORESEN, WALTER",Challenger,,88477,N/A,N/A,N/A,R,,,19997,0.45369807,41.27000046
WI,WISCONSIN,55,H,6,1962,71298,49238,120536,0.40849206,-1,"VAN PELT, WILLIAM K.",Incumbent,"RACE, JOHN A.",Challenger,,120536,N/A,N/A,N/A,R,,,22060,0.44201058,41.72000122
WI,WISCONSIN,55,H,8,1964,96160,65292,161452,0.40440503,-1,"BYRNES, JOHN W.",Incumbent,"JOHNSON, CLETUS J.",Challenger,,161452,N/A,N/A,N/A,R,,,30868,0.37183324,59.91999817
WI,WISCONSIN,55,H,7,1964,98110,60758,158868,0.38244328,-1,"LAIRD, MELVIN R.",Incumbent,"MARTIN, THOMAS E.",Challenger,,158868,N/A,N/A,N/A,R,,,37352,0.33939692,61.40000153
WI,WISCONSIN,55,H,10,1964,92198,71983,164181,0.43843684,-1,"O'KONSKI, ALVIN E.",Incumbent,"NIX, EDMUND A.",Challenger,,164181,N/A,N/A,N/A,R,,,20215,0.36811352,65.16000366
WI,WISCONSIN,55,H,1,1964,85117,90450,175567,0.51518792,-1,"SCHADEBERG, HENRY C.",Incumbent,"STALBAUM, LYNN E.",Challenger,,175567,N/A,N/A,N/A,D,,,5333,0.46706381,61.15999985
WI,WISCONSIN,55,H,3,1964,91092,59173,150265,0.39379096,-1,"THOMSON, VERNON W.",Incumbent,"RISTOW, HAROLD C.",Challenger,,150265,N/A,N/A,N/A,R,,,31919,0.38699323,58.70999908
WI,WISCONSIN,55,H,6,1964,82103,84690,166793,0.5077551,-1,"VAN PELT, WILLIAM K.",Incumbent,"RACE, JOHN A.",Challenger,,166793,N/A,N/A,N/A,D,,,2587,0.40849206,57.65000153
WI,WISCONSIN,55,H,8,1966,75817,47926,123743,0.38730273,-1,"BYRNES, JOHN W.",Incumbent,"KAGEN, MARVIN S.",Challenger,,123743,N/A,N/A,N/A,R,,,27891,0.40440503,59.91999817
WI,WISCONSIN,55,H,9,1966,85297,47674,132971,0.3585293,-1,"DAVIS, GLENN R.",Incumbent,"BUCKLEY, JAMES P.",Challenger,,132971,N/A,N/A,N/A,R,,,37623,0.44679442,52.13999939
WI,WISCONSIN,55,H,7,1966,74942,40093,115035,0.34852871,-1,"LAIRD, MELVIN R.",Incumbent,"MYHRA, NORMAN L.",Challenger,,115035,N/A,N/A,N/A,R,,,34849,0.38244328,61.40000153
WI,WISCONSIN,55,H,10,1966,79282,39863,119145,0.3345755,-1,"O'KONSKI, ALVIN E.",Incumbent,"LAURI, CARL E.",Challenger,,119145,N/A,N/A,N/A,R,,,39419,0.43843684,65.16000366
WI,WISCONSIN,55,H,3,1966,72586,32849,105435,0.31155688,-1,"THOMSON, VERNON W.",Incumbent,"RICE, JOHN D.",Challenger,,105435,N/A,N/A,N/A,R,,,39737,0.39379096,58.70999908
WI,WISCONSIN,55,H,8,1968,111859,52660,164519,0.3200846,-1,"BYRNES, JOHN W.",Incumbent,"NIXON, JOHN E.",Challenger,,164524,N/A,N/A,N/A,R,,5,59199,0.38730273,42.09000015
WI,WISCONSIN,55,H,9,1968,126392,73891,200283,0.36893296,-1,"DAVIS, GLENN R.",Incumbent,"BAUMANN, CAROL C.",Challenger,,200288,N/A,N/A,N/A,R,,5,52501,0.3585293,41.61000061
WI,WISCONSIN,55,H,7,1968,101808,56964,158772,0.35877863,-1,"LAIRD, MELVIN R.",Incumbent,"DAHL, LAWRENCE",Challenger,,158772,N/A,N/A,N/A,R,,,44844,0.34852871,45.31999969
WI,WISCONSIN,55,H,10,1968,106266,54889,164155,0.34059757,-1,"O'KONSKI, ALVIN E.",Incumbent,"HIRSCH, TIMOTHY J.",Challenger,,164155,N/A,N/A,N/A,R,,,48377,0.3345755,50.95000076
WI,WISCONSIN,55,H,1,1968,89200,86067,175267,0.49106219,-1,"SCHADEBERG, HENRY C.",Incumbent,"STALBAUM, LYNN E.",Challenger,,175275,N/A,N/A,N/A,R,,8,3133,0.48963034,47.27000046
WI,WISCONSIN,55,H,6,1968,111934,60059,171993,0.34919444,-1,"STEIGER, WILLIAM A.",Incumbent,"RACE, JOHN A.",Challenger,,174940,N/A,N/A,N/A,R,,2947,51875,0.47617617,42.90999985
WI,WISCONSIN,55,H,3,1968,95606,54517,150123,0.3631489,-1,"THOMSON, VERNON W.",Incumbent,"GUNDERSEN, GUNNAR",Challenger,,150127,N/A,N/A,N/A,R,,4,41089,0.31155688,40.36000061
WI,WISCONSIN,55,H,8,1970,76893,60345,137238,0.43971059,-1,"BYRNES, JOHN W.",Incumbent,"CORNELL, ROBERT J.",Challenger,,137238,N/A,N/A,N/A,R,,,16548,0.3200846,42.09000015
WI,WISCONSIN,55,H,9,1970,84732,78123,162855,0.47970894,-1,"DAVIS, GLENN R.",Incumbent,"TABAK, FRED N.",Challenger,,162855,N/A,N/A,N/A,R,,,6609,0.36893296,41.61000061
WI,WISCONSIN,55,H,10,1970,66014,62991,129005,0.4882834,-1,"O'KONSKI, ALVIN E.",Incumbent,"THORESEN, WALTER",Challenger,,129005,N/A,N/A,N/A,R,,,3023,0.35264841,50.95000076
WI,WISCONSIN,55,H,1,1970,56067,87428,143495,0.60927558,-1,"SCHADEBERG, HENRY C.",Incumbent,"ASPIN, LES",Challenger,,143499,N/A,N/A,N/A,D,,4,31361,0.49106219,47.27000046
WI,WISCONSIN,55,H,6,1970,98587,44794,143381,0.31241238,-1,"STEIGER, WILLIAM A.",Incumbent,"UTECH, FRANKLIN R.",Challenger,,145541,N/A,N/A,N/A,R,,2160,53793,0.34919444,42.90999985
WI,WISCONSIN,55,H,3,1970,64891,52085,116976,0.44526228,-1,"THOMSON, VERNON W.",Incumbent,"SHORT, RAY",Challenger,,116979,N/A,N/A,N/A,R,,3,12806,0.3631489,40.36000061
WI,WISCONSIN,55,H,9,1972,128230,76585,204815,0.3739228,-1,"DAVIS, GLENN R.",Incumbent,"FINE, RALPH A.",Challenger,,208892,N/A,N/A,N/A,R,,4077,51645,0.47970894,37.25
WI,WISCONSIN,55,H,6,1972,130701,63643,194344,0.32747602,-1,"STEIGER, WILLIAM A.",Incumbent,"ADAMS, JAMES A.",Challenger,,198610,N/A,N/A,N/A,R,,4266,67058,0.31241238,42.84000015
WI,WISCONSIN,55,H,3,1972,112905,91953,204858,0.44886214,-1,"THOMSON, VERNON W.",Incumbent,"THORESEN, WALTER",Challenger,,206356,N/A,N/A,N/A,R,,1498,20952,0.44526228,41.06999969
WI,WISCONSIN,55,H,8,1974,66889,79923,146812,0.54439008,-1,"FROEHLICH, HAROLD V.",Incumbent,"CORNELL, ROBERT J.",Challenger,,146840,N/A,N/A,N/A,D,,28,13034,0.49037501,38.54000092
WI,WISCONSIN,55,H,6,1974,88652,51571,140223,0.36777848,-1,"STEIGER, WILLIAM A.",Incumbent,"SIMENZ, NANCY J.",Challenger,,147660,N/A,N/A,N/A,R,,7437,37081,0.32747602,42.84000015
WI,WISCONSIN,55,H,3,1974,71171,76668,147839,0.51859117,-1,"THOMSON, VERNON W.",Incumbent,"BALDUS, ALVIN",Challenger,,150028,N/A,N/A,N/A,D,,2189,5497,0.44886214,41.06999969
WI,WISCONSIN,55,H,9,1976,163791,84706,248497,0.34087333,-1,"KASTEN, ROBERT W.",Incumbent,"MCDONALD, LYNN M.",Challenger,,248524,N/A,N/A,N/A,R,,27,79085,0.45945176,39.93999863
WI,WISCONSIN,55,H,6,1976,139541,80715,220256,0.36645994,-1,"STEIGER, WILLIAM A.",Incumbent,"SMITH, JOSEPH C.",Challenger,,220271,N/A,N/A,N/A,R,,15,58826,0.36777848,47.97000122
WI,WISCONSIN,55,H,6,1978,114742,48785,163527,0.29832995,-1,"STEIGER, WILLIAM A.",Incumbent,"STEFFES, ROBERT J.",Challenger,,164817,N/A,N/A,N/A,R,,1290,65957,0.36645994,47.97000122
WI,WISCONSIN,55,H,6,1980,143980,98628,242608,0.40653235,-1,"PETRI, THOMAS E.",Incumbent,"GOYKE, GARY R.",Challenger,,242611,N/A,N/A,N/A,R,,3,45352,0.29832995,42.70000076
WI,WISCONSIN,55,H,8,1980,169664,81043,250707,0.32325783,-1,"ROTH, TOBY",Incumbent,"MONFILS, MICHAEL R.",Challenger,,250726,N/A,N/A,N/A,R,,19,88621,0.42055172,39.61999893
WI,WISCONSIN,55,H,9,1980,206227,56838,263065,0.21606067,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,"BENEDICT, GARY C.",Challenger,,263079,N/A,N/A,N/A,R,,14,149389,0.38847995,36.79000092
WI,WISCONSIN,55,H,3,1982,99304,75132,174436,0.43071383,-1,"GUNDERSON, STEVEN",Incumbent,"OFFNER, PAUL",Challenger,,175465,N/A,N/A,N/A,R,,1029,24172,0.49006799,47.02999878
WI,WISCONSIN,55,H,6,1982,111348,59922,171270,0.34986863,-1,"PETRI, THOMAS E.",Incumbent,"LOEHR, GORDON E.",Challenger,,171283,N/A,N/A,N/A,R,,13,51426,0.40653235,41.11000061
WI,WISCONSIN,55,H,8,1982,101379,74436,175815,0.42337686,-1,"ROTH, TOBY",Incumbent,"CLUSEN, RUTH C.",Challenger,,177152,N/A,N/A,N/A,R,,1337,26943,0.32325783,40.15000153
WI,WISCONSIN,55,H,9,1982,111503,,111503,,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,,N/A,,111570,N/A,N/A,N/A,R,,67,111503,0.21606067,36.83000183
WI,WISCONSIN,55,H,3,1984,160437,74253,234690,0.31638756,-1,"GUNDERSON, STEVEN",Incumbent,"DAHL, CHARLES F.",Challenger,,234695,N/A,N/A,N/A,R,,5,86184,0.43071383,44.58000183
WI,WISCONSIN,55,H,6,1984,170271,54266,224537,0.24167955,-1,"PETRI, THOMAS E.",Incumbent,"IAQUINTA, DAVID L.",Challenger,,224546,N/A,N/A,N/A,R,,9,116005,0.34986863,37.58000183
WI,WISCONSIN,55,H,8,1984,161005,73090,234095,0.31222367,-1,"ROTH, TOBY",Incumbent,"WILLEMS, PAUL",Challenger,,237107,N/A,N/A,N/A,R,,3012,87915,0.42337686,36.54000092
WI,WISCONSIN,55,H,9,1984,180247,64157,244404,0.26250389,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,"KRAUSE, JOHN",Challenger,,245716,N/A,N/A,N/A,R,,1312,116090,,34.72999954
WI,WISCONSIN,55,H,3,1986,104393,58445,162838,0.358915,-1,"GUNDERSON, STEVEN",Incumbent,"MULDER, LELAND E.",Challenger,,162869,N/A,N/A,N/A,R,,31,45948,0.31638756,44.58000183
WI,WISCONSIN,55,H,6,1986,124328,,124328,,-1,"PETRI, THOMAS E.",Incumbent,,N/A,,128639,N/A,N/A,N/A,R,,4311,124328,0.24167955,37.58000183
WI,WISCONSIN,55,H,8,1986,118162,57265,175427,0.32643208,-1,"ROTH, TOBY",Incumbent,"WILLEMS, PAUL",Challenger,,175432,N/A,N/A,N/A,R,,5,60897,0.31222367,36.54000092
WI,WISCONSIN,55,H,9,1986,138766,38636,177402,0.21778785,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,"POPP, THOMAS G.",Challenger,,177408,N/A,N/A,N/A,R,,6,100130,0.26250389,34.72999954
WI,WISCONSIN,55,H,3,1988,157513,72935,230448,0.31649223,-1,"GUNDERSON, STEVEN",Incumbent,"KRUEGER, KARL E.",Challenger,,230467,N/A,N/A,N/A,R,,19,84578,0.358915,52.83000183
WI,WISCONSIN,55,H,6,1988,165923,57552,223475,0.25753215,-1,"PETRI, THOMAS E.",Incumbent,"GARRETT, JOSEPH",Challenger,,223495,N/A,N/A,N/A,R,,20,108371,,45.56000137
WI,WISCONSIN,55,H,8,1988,167275,72708,239983,0.30297145,-1,"ROTH, TOBY",Incumbent,"BARON, ROBERT A.",Challenger,,240013,N/A,N/A,N/A,R,,30,94567,0.32643208,46.97000122
WI,WISCONSIN,55,H,9,1988,185093,62003,247096,0.25092676,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,"HICKEY, THOMAS J.",Challenger,,247104,N/A,N/A,N/A,R,,8,123090,0.21778785,39.75999832
WI,WISCONSIN,55,H,3,1990,94509,60409,154918,0.38994178,-1,"GUNDERSON, STEVEN",Incumbent,"ZIEGEWEID, JAMES L.",Challenger,,154935,N/A,N/A,N/A,R,,17,34100,0.31649223,52.83000183
WI,WISCONSIN,55,H,6,1990,111036,,111036,,-1,"PETRI, THOMAS E.",Incumbent,,N/A,,111556,N/A,N/A,N/A,R,,520,111036,0.25753215,45.56000137
WI,WISCONSIN,55,H,8,1990,95902,83199,179101,0.46453676,-1,"ROTH, TOBY",Incumbent,"VAN SISTINE, JEROME E.",Challenger,,179142,N/A,N/A,N/A,R,,41,12703,0.30297145,46.97000122
WI,WISCONSIN,55,H,9,1990,117967,,117967,,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,,N/A,,118321,N/A,N/A,N/A,R,,354,117967,0.25092676,39.75999832
WI,WISCONSIN,55,H,3,1992,146903,108664,255567,0.42518792,-1,"GUNDERSON, STEVEN",Incumbent,"SACIA, PAUL",Challenger,,260335,N/A,N/A,N/A,R,,4768,38239,0.38994178,57
WI,WISCONSIN,55,H,2,1992,183366,108291,291657,0.37129572,-1,"KLUG, SCOTT L.",Incumbent,"DEER, ADA E.",Challenger,,292898,N/A,N/A,N/A,R,,1241,75075,0.46764857,61.27999878
WI,WISCONSIN,55,H,6,1992,143875,128232,272107,0.47125578,-1,"PETRI, THOMAS E.",Incumbent,"LAUTENSCHLAGER, PEGGY A.",Challenger,,272137,N/A,N/A,N/A,R,,30,15643,,45.88000107
WI,WISCONSIN,55,H,8,1992,191704,81792,273496,0.29906106,-1,"ROTH, TOBY",Incumbent,"HELMS, CATHERINE L.",Challenger,,273532,N/A,N/A,N/A,R,,36,109912,0.46453676,46.84999847
WI,WISCONSIN,55,H,9,1992,192898,77362,270260,0.28625026,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,"BUXTON, INGRID K.",Challenger,,276787,N/A,N/A,N/A,R,,6527,115536,,38.20999908
WI,WISCONSIN,55,H,3,1994,89338,65758,155096,0.42398256,-1,"GUNDERSON, STEVEN",Incumbent,"STOWER, HARVEY",Challenger,,160313,N/A,N/A,N/A,R,,5217,23580,0.42518792,57
WI,WISCONSIN,55,H,2,1994,133734,55406,189140,0.29293644,-1,"KLUG, SCOTT L.",Incumbent,"HECHT, THOMAS C.",Challenger,,193249,N/A,N/A,N/A,R,,4109,78328,0.37129572,61.27999878
WI,WISCONSIN,55,H,6,1994,119384,,119384,,-1,"PETRI, THOMAS E.",Incumbent,,N/A,,119987,N/A,N/A,N/A,R,,603,119384,0.47125578,45.88000107
WI,WISCONSIN,55,H,8,1994,114319,65065,179384,0.36271352,-1,"ROTH, TOBY",Incumbent,"GRUSZYNSKI, STAN",Challenger,,179460,N/A,N/A,N/A,R,,76,49254,0.29906106,46.84999847
WI,WISCONSIN,55,H,9,1994,141617,,141617,,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,,N/A,,141953,N/A,N/A,N/A,R,,336,141617,0.28625026,38.20999908
WI,WISCONSIN,55,H,2,1996,154557,110467,265024,0.41681886,-1,"KLUG, SCOTT L.",Incumbent,"SOGLIN, PAUL R.",Challenger,,269374,N/A,N/A,N/A,R,,4350,44090,0.29293644,62.5
WI,WISCONSIN,55,H,1,1996,118408,114148,232556,0.49084091,-1,"NEUMANN, MARK W.",Incumbent,"SPOTTSWOOD, LYDIA C.",Challenger,,232801,N/A,N/A,N/A,R,,245,4260,0.49664176,56.97000122
WI,WISCONSIN,55,H,6,1996,169213,55377,224590,0.24656931,-1,"PETRI, THOMAS E.",Incumbent,"LINDSKOOG, AL",Challenger,,231719,N/A,N/A,N/A,R,,7129,113836,,52.00999832
WI,WISCONSIN,55,H,9,1996,197910,67740,265650,0.25499716,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,"BRENHOLT, FLOYD",Challenger,,265875,N/A,N/A,N/A,R,,225,130170,,41.63999939
WI,WISCONSIN,55,H,6,1998,144144,,144144,,-1,"PETRI, THOMAS E.",Incumbent,,N/A,,155669,N/A,N/A,N/A,R,,11525,144144,0.24656931,52.00999832
WI,WISCONSIN,55,H,9,1998,175533,,175533,,-1,"SENSENBRENNER, F. JAMES JR.",Incumbent,,N/A,,192318,N/A,N/A,N/A,R,,16785,175533,0.25499716,41.63999939
WI,WISCONSIN,55,H,8,2000,211388,71575,282963,0.25294825,-1,"GREEN, MARK",Incumbent,"REICH, DEAN",Challenger,,283294,N/A,N/A,N/A,R,,331,139813,0.45390776,45.81999969
WI,WISCONSIN,55,H,6,2000,179205,96125,275330,0.34912649,-1,"PETRI, THOMAS E.",Incumbent,"FLAHERTY, DAN",Challenger,,275605,N/A,N/A,N/A,R,,275,83080,,44.90999985
WI,WISCONSIN,55,H,1,2000,177612,88885,266497,0.33353096,-1,"RYAN, PAUL D.",Incumbent,"THOMAS, JEFFREY C.",Challenger,,266791,N/A,N/A,N/A,R,,294,88727,0.42799214,50.88000107
